2025-04-27T08:17:01.687201Z,mouse,mouse_move,{"location":(783, 383)}
2025-04-27T08:17:06.415863Z,mouse,mouse_move,{"location":(803, 375)}
2025-04-27T08:17:06.468158Z,mouse,mouse_move,{"location":(843, 358)}
2025-04-27T08:17:06.520460Z,mouse,mouse_move,{"location":(888, 332)}
2025-04-27T08:17:06.830957Z,mouse,mouse_move,{"location":(888, 329)}
2025-04-27T08:17:06.883289Z,mouse,mouse_move,{"location":(915, 278)}
2025-04-27T08:17:06.935727Z,mouse,mouse_move,{"location":(962, 190)}
2025-04-27T08:17:06.988118Z,mouse,mouse_move,{"location":(1014, 67)}
2025-04-27T08:17:07.040372Z,mouse,mouse_move,{"location":(1029, 21)}
2025-04-27T08:17:07.092185Z,mouse,mouse_move,{"location":(1032, 11)}
2025-04-27T08:17:07.144768Z,mouse,mouse_move,{"location":(1032, 10)}
2025-04-27T08:17:07.248573Z,mouse,mouse_move,{"location":(1033, 8)}
2025-04-27T08:17:07.300605Z,mouse,mouse_move,{"location":(1034, 3)}
2025-04-27T08:17:07.352837Z,mouse,mouse_move,{"location":(1035, 3)}
2025-04-27T08:17:07.613712Z,mouse,mouse_move,{"location":(1034, 3)}
2025-04-27T08:17:07.666134Z,mouse,mouse_move,{"location":(1033, 3)}
2025-04-27T08:17:07.718692Z,mouse,mouse_move,{"location":(1032, 4)}
2025-04-27T08:17:07.770378Z,mouse,mouse_move,{"location":(1030, 5)}
2025-04-27T08:17:07.874273Z,mouse,mouse_move,{"location":(1030, 6)}
2025-04-27T08:17:09.900405Z,mouse,mouse_move,{"location":(1029, 10)}
2025-04-27T08:17:09.952874Z,mouse,mouse_move,{"location":(1027, 19)}
2025-04-27T08:17:10.005470Z,mouse,mouse_move,{"location":(1027, 22)}
2025-04-27T08:17:10.057253Z,mouse,mouse_move,{"location":(1027, 23)}
2025-04-27T08:17:10.316681Z,mouse,mouse_down,{"button":1}
2025-04-27T08:17:11.301022Z,mouse,mouse_move,{"location":(1015, 22)}
2025-04-27T08:17:11.353248Z,mouse,mouse_move,{"location":(876, 47)}
2025-04-27T08:17:11.406180Z,mouse,mouse_move,{"location":(516, 201)}
